大,小
多,少
左,右
前,后
冷,热
高,低
进,退
黑,白
天,地
男,女
里,外
死,活
公,私
快,慢
矛,盾
宽,窄
强,弱
轻,重
缓,急
松,紧
好,坏
美,丑
善,恶
是,非
已,未
闲,忙
分,合
存,亡
动,静
浓,淡
偏,正
饥,饱
爱,恨
升,降
开,关
始,终
胖,瘦
迎,送
盈,亏
真,假
虚,实
有,无
雅,俗
是,否
稀,密
粗,细
东,西
巧,拙
恩,怨
新,旧
正,邪
通,堵
止,行
古,今
曲,直
亮,暗
薄,厚
哭,笑
文,武
推,拉
问,答
主,仆
买,卖
深,浅
聚,散
干,湿
生,熟
单,双
首,末
你,我
敌,友
警,匪
盛,衰
胜,败
加,减
软,硬
阴,阳
顺,逆
反,正
祸,福
信,疑
错,对
藏,露
老,少
断,续
钝,锐
浓,淡
雌,雄
醒,睡
止,行
咸,淡
正,歪
凉,暖
深,浅
窄,宽
远,近
高,低
冷,热
横,竖
涨,降
隐,现
同,异
浑,清
紧,松
无,有
明,暗
细,粗
嫩,老
凹,凸
轻,重
没有,有
我的,她的
我的,他的
你的,他的
已经,还没
之后,之前
经常,偶尔
扩散,集中
疑惑,坚信
同意,反对
虚心,骄傲
弱小,强大
反对,赞成
正确,错误
浪费,节约
减少,增加
贫穷,富裕
熟悉,陌生
遥远,附近
倔强,温顺
谦逊,骄傲
终日,偶尔
殷勤,冷淡
孤独,热闹
喜欢,讨厌
奇特,平凡
虚幻,真实
甜蜜,苦涩
清晰,模糊
软弱,坚强
严肃,和蔼
动摇,坚定
兴旺,衰败
勤奋,懒惰
肥胖,消瘦
提高,降低
成功,失败
偶然,必然
热闹,冷清
外表,内心
厄运,幸运
微弱,强烈
黑暗,明亮
笔直,弯曲
懒惰,勤劳
害羞,大方
舒服,难受
惊诧,焦急
乌黑,雪白
俊俏,丑陋
轻快,沉重
鲜艳,暗淡
增添,削减
活泼,呆板
害怕,勇敢
聚拢,分散
停止,开始
好梦,恶梦
玲珑,粗笨
灵活,呆板
陡峭,平坦
离开,回归
特殊,一般
送行,迎接
舒适,难受
早先,以后
裸露,遮盖
黎明,黑夜
减少,增加
接受,拒绝
悲惨,幸福
愈合,开裂
有名,无名
严肃,随和
熟悉,生疏
