陈设,陈列
沉思,深思
描绘,描述
从容,镇定
传授,教授
猛烈,强烈
成功,胜利
踌躇,犹豫
朦胧,模糊
沉积,淤积
沉寂,沉静
弥漫,布满
觉察,发觉
倘若,假如
密切,紧密
驰过,经过
沉默,安静
勉励,鼓励
持续,延续
颤抖,发抖
藐视,轻视
灿烂,明媚
传说,传闻
泯灭,消灭
慈祥,慈爱
打扮,装扮
摹仿,模仿
打搅,打扰
胆怯,害怕
模范,榜样
淡忘,忘却
叮嘱,嘱咐
萌芽,发芽
陡崖,悬崖
对付,应付
命令,指示
对照,对比
诞生,降生
茂密,稠密
短暂,瞬间
独特,特别
迷蒙,迷茫
打扰,打搅
担心,放心
马上,立刻
陡峭,峻峭
悲哀,悲伤
忙碌,劳碌
遍布,遍及
便捷,便利
鸟瞰,俯视
恩赐,赏赐
飞驰,奔驰
凝结,凝聚
发布,公布
发誓,宣誓
凝视,注视
发展,进展
繁殖,生殖
挪移,移动
反抗,抵抗
防御,防备
难过,难受
妨碍,阻碍
分量,重量
能手,专家
分外,格外
愤怒,愤慨
偶尔,间或
锋利,锐利
服侍,侍侯
便宜,廉价
浮现,出现
赋予,给予
哺育,培育
分辩,辩解
富裕,宽裕
判断,推断
嘱咐,叮嘱
发现,发觉
批评,批判
峰峦,山峰
发愣,发呆
僻静,偏僻
覆盖,掩盖
乏味,无聊
疲倦,疲乏
仿佛,好像
吩咐,命令
漂亮,美丽
防御,抵御
烦恼,烦闷
飘荡,漂浮
费解,难懂
防止,预防
品格,品行
费用,花费
反驳,反对
朴实,质朴
告别,告辞
恭敬,尊敬
盘问,追问
估计,估量
鼓励,鼓舞
盘曲,盘旋
固然,当然
故意,有意
平等,公平
关心,关怀
管理,治理
奇妙,奇异
贯通,贯穿
瑰宝,珍宝
气魄,气势
规划,计划
果然,果真
气势,气概
鼓励,鼓舞
高悬,高挂
清晰,清楚
干枯,枯萎
感叹,感慨
清澈,清亮
公正,公平
观赏,欣赏
清晰,清楚
给予,送给
感激,感谢
驱赶,驱逐
感触,感受
高兴,难受
凄苦,凄凉
孤单,孤独
赶紧,连忙
勤奋,勤劳
估计,估测
感动,感激
观赏,欣赏
含糊,模糊
寒冷,严寒
轻蔑,轻视
和蔼,和气
宏伟,雄伟
确实,实在
欢跃,喜悦
荒芜,荒凉
轻柔,柔和
回顾,回忆
汇集,汇合
弱小,微小
获取,猎取
罕见,少见
热闹,喧哗
和蔼,温和
昏暗,阴暗
认真,仔细
缓慢,缓缓
忽然,突然
容许,允许
呼喊,叫喊
呼唤,召唤
饶恕,宽恕
呵护,保护
湖边,湖畔
松散,疏松
好像,似乎
会晤,会见
思考,思索
活泼,生动
好梦,美梦
赏识,赞赏
后悔,懊悔
害怕,畏惧
伤害,损害
荒芜,荒凉
妒忌,嫉妒
商议,商量
机灵,灵巧
积累,积存
稍微,略微
即将,马上
疾驰,飞奔
刹那,瞬间
寄托,寄予
皎洁,洁白
神奇,奇妙
讥笑,嘲笑
坚固,牢固
率先,领先
坚毅,坚强
艰苦,艰难
肃静,安静
建造,建筑
交织,交错
闪烁,闪耀
娇嫩,柔嫩
节制,克制
生气,生机
竭力,尽力
解救,拯救
四处,到处
谨防,防备
谨慎,慎重
所有,全部
惊险,危险
精密,周密
审视,审察
精致,精巧
敬仰,仰慕
索性,干脆
境界,境地
居然,竟然
探索,探究
绝望,无望
惊叹,惊奇
推荐,推举
惊恐,害怕
寂寞,孤独
妥帖,稳妥
见谅,原谅
敬佩,佩服
同伴,伙伴
结束,完毕
决口,决堤
同意,愿意
聚集,集合
积蓄,积攒
蜿蜒,曲折
居然,竟然
拮据,困难
顽强,坚韧
教导,教育
焦急,着急
巍峨,雄伟
洁净,干净
集合,集中
惟独,只有
惊讶,惊奇
寂寞,孤单
危急,危险
娇小,娇嫩
维护,保护
吸收,汲取
稀罕,希奇
稀罕,希奇
稀罕,希奇
形态,状态
幼稚,稚嫩
预计,估计
滋味,味道
照射,照耀
终于,最终
避免,幸免
宽广,广阔
必须,一定
抱怨,埋怨
爱慕,喜爱
安然,安稳
解释,讲解
遨游,游览
奥秘,神秘
决心,决定
懊悔,后悔
偶然,偶尔
聚拢,聚集
爱护,爱惜
遨游,漫游
机灵,机敏
安心,静心
奥秘,奥妙
俊俏,漂亮
偶尔,间或
安慰,宽慰
纠正,改正
安慰,抚慰
报酬,酬劳
巨大,庞大
悲哀,悲伤
崩塌,倒塌
渴望,渴求
必然,必定
避免,幸免
宽广,广阔
必须,一定
抱怨,埋怨
慷慨,大方
比美,媲美
宝贵,珍贵
可惜,惋惜
悲哀,悲痛
避开,躲开
恐怖,恐惧
悲惨,悲凉
悲惨,凄惨
愧疚,内疚
报答,答谢
碧绿,翠绿
劳苦,劳累
包括,包含
本领,本事
立即,马上
帮助,援助
半晌,半天
灵便,灵活
猜测,推测
才干,才能
浏览,扫瞄
采用,采纳
慈悲,慈善
良好,优良
慈祥,慈爱
葱茏,葱郁
连绵,绵延
聪明,聪慧
催促,督促
凉爽,凉快
催促,督促
诧异,惊异
冷淡,冷漠
颤动,抖动
沉浸,沉醉
灵活,灵敏
惩罚,惩处
迟延,拖延
另外,其它
耻笑,讥笑
耻笑,嘲笑
满意,中意
憧憬,向往
酬谢,答谢
漫步,闲逛
啜泣,抽泣
创造,制造
茂密,茂盛
绰号,外号
沉静,寂静
渺小,微小
名不虚传,名符其实
恋恋不舍,依依不舍
日夜不停,夜以继日
异口同声,不约而同
神气十足,得意洋洋
左顾右盼,东张西望
受益无穷,获益良多
心旷神怡,赏心悦目
飘飘悠悠,飘飘扬扬
全神贯注,聚精会神
一丝不苟,认认真真
震耳欲聋,响彻云霄
别具一格,独具匠心
不可计数,不计其数
风俗世情,风土人情
毫不犹豫,坚决果断
绞尽脑汁,费尽心机
筋疲力尽,力倦神疲
迥乎不同,绝然不同
举世闻名,闻名遐迩
聚精会神,全神贯注
雷霆万钧,排山倒海
络绎不绝,川流不息
眉开眼笑,眉飞色舞
目不转睛,聚精会神
排山倒海,移山倒海
疲惫不堪,筋疲力竭
千磨万击,千锤百炼
情不自禁,不由自主
盛气凌人,不可一世
随心所欲,为所欲为
同心协力,同心同德
无拘无束,自由自在
喜不自胜,乐不可支
腥风血雨,凄风苦雨
一五一十,如数家珍
依依不舍,恋恋不舍
应有尽有,无奇不有
